code,metric,value,N_valid,name
1,PA,0.9344978165938864,229,Forest
1,UA,0.9385964912280702,229,Forest
2,PA,0.9428571428571428,315,Agrocanopy
2,UA,0.9369085173501577,315,Agrocanopy
3,PA,0.8435374149659864,147,Paddy
3,UA,0.8671328671328671,147,Paddy
4,PA,0.8428571428571429,140,GrassScrub
4,UA,0.8309859154929577,140,GrassScrub
5,PA,0.6593406593406593,91,Built
5,UA,0.6976744186046512,91,Built
6,PA,0.9910714285714286,112,Water
6,UA,0.9487179487179487,112,Water
7,PA,0.8985507246376812,69,Rock
7,UA,0.8857142857142857,69,Rock
