pair,from,from_name,to,to_name,npx,area_ha
2004_2006__2010_2012,1,Forest,1,Forest,8348508,751365.72
2004_2006__2010_2012,1,Forest,2,Agrocanopy,1195025,107552.25
2004_2006__2010_2012,1,Forest,3,Paddy,144378,12994.019999999999
2004_2006__2010_2012,1,Forest,4,GrassScrub,34680,3121.2
2004_2006__2010_2012,1,Forest,5,Built,45273,4074.5699999999997
2004_2006__2010_2012,1,Forest,6,Water,4204,378.36
2004_2006__2010_2012,2,Agrocanopy,1,Forest,762363,68612.67
2004_2006__2010_2012,2,Agrocanopy,2,Agrocanopy,6725278,605275.02
2004_2006__2010_2012,2,Agrocanopy,3,Paddy,347163,31244.67
2004_2006__2010_2012,2,Agrocanopy,4,GrassScrub,323640,29127.6
2004_2006__2010_2012,2,Agrocanopy,5,Built,676103,60849.27
2004_2006__2010_2012,2,Agrocanopy,6,Water,13802,1242.18
2004_2006__2010_2012,3,Paddy,1,Forest,322803,29052.27
2004_2006__2010_2012,3,Paddy,2,Agrocanopy,471423,42428.07
2004_2006__2010_2012,3,Paddy,3,Paddy,1816950,163525.5
2004_2006__2010_2012,3,Paddy,4,GrassScrub,454941,40944.689999999995
2004_2006__2010_2012,3,Paddy,5,Built,169413,15247.17
2004_2006__2010_2012,3,Paddy,6,Water,94527,8507.43
2004_2006__2010_2012,4,GrassScrub,1,Forest,5855,526.9499999999999
2004_2006__2010_2012,4,GrassScrub,2,Agrocanopy,261874,23568.66
2004_2006__2010_2012,4,GrassScrub,3,Paddy,502796,45251.64
2004_2006__2010_2012,4,GrassScrub,4,GrassScrub,658237,59241.329999999994
2004_2006__2010_2012,4,GrassScrub,5,Built,231115,20800.35
2004_2006__2010_2012,4,GrassScrub,6,Water,26153,2353.77
2004_2006__2010_2012,5,Built,1,Forest,3136,282.24
2004_2006__2010_2012,5,Built,2,Agrocanopy,338411,30456.989999999998
2004_2006__2010_2012,5,Built,3,Paddy,116376,10473.84
2004_2006__2010_2012,5,Built,4,GrassScrub,346601,31194.09
2004_2006__2010_2012,5,Built,5,Built,388369,34953.21
2004_2006__2010_2012,5,Built,6,Water,3037,273.33
2004_2006__2010_2012,6,Water,1,Forest,13813,1243.1699999999998
2004_2006__2010_2012,6,Water,2,Agrocanopy,4420,397.8
2004_2006__2010_2012,6,Water,3,Paddy,56644,5097.96
2004_2006__2010_2012,6,Water,4,GrassScrub,4972,447.47999999999996
2004_2006__2010_2012,6,Water,5,Built,278,25.02
2004_2006__2010_2012,6,Water,6,Water,1182283,106405.47
